SNo,Date,Price,Open,High,Low,Vol.,Change %
1,2017-12-31,0.71,0.59,0.74,0.59,17220000.0,20.34
2,2018-01-01,0.7022,0.71,0.715,0.632,17950000.0,-1.10
3,2018-01-02,0.762,0.7022,0.8,0.675,10970000.0,8.52
4,2018-01-03,1.08,0.97818,1.09,0.88821,20230000.0,41.73
5,2018-01-04,1.1043,1.1,1.35,1.05,19600000.0,2.25
6,2018-01-05,0.994903,1.18,1.3,0.90701,18530000.0,-9.91
7,2018-01-06,1.035795,1.0099,1.082999,0.9229,9120000.0,4.11
8,2018-01-07,1.006,1.02,1.05343,0.98,4810000.0,-2.88
9,2018-01-08,0.9,1.013,1.013,0.752,10970000.0,-10.54
10,2018-01-09,0.81,0.9,0.929,0.7729,7890000.0,-10.00
11,2018-01-10,0.7765,0.81,0.829042,0.655933,12110000.0,-4.14
12,2018-01-11,0.678,0.782876,0.782876,0.523,17300000.0,-12.69
13,2018-01-12,0.890001,0.679,0.922121,0.631002,13170000.0,31.27
14,2018-01-13,0.879,0.898261,0.95785,0.8329,9330000.0,-1.24
15,2018-01-14,0.799989,0.879,0.879,0.729,9250000.0,-8.99
16,2018-01-15,0.771,0.799989,0.866629,0.76727,6270000.0,-3.62
17,2018-01-16,0.60124,0.7724,0.786244,0.45,31970000.0,-22.02
18,2018-01-17,0.6242,0.6,0.683705,0.4353,36730000.0,3.82
19,2018-01-18,0.65,0.626,0.6986,0.582,17860000.0,4.13
20,2018-01-19,0.6458,0.65,0.69145,0.59,14520000.0,-0.65
21,2018-01-20,0.704857,0.647933,0.72,0.64,7220000.0,9.14
22,2018-01-21,0.616456,0.704857,0.704857,0.58,10410000.0,-12.54
23,2018-01-22,0.56748,0.616456,0.64,0.515,10800000.0,-7.94
24,2018-01-23,0.5598,0.56785,0.58967,0.516647,8770000.0,-1.35
25,2018-01-24,0.629001,0.561948,0.649,0.537,8790000.0,12.36
26,2018-01-25,0.642,0.628,0.684,0.62,7760000.0,2.07
27,2018-01-26,0.626794,0.642,0.655,0.5611,18150000.0,-2.37
28,2018-01-27,0.62132,0.626794,0.642,0.595,5540000.0,-0.87
29,2018-01-28,0.642267,0.62132,0.667275,0.613098,6470000.0,3.37
30,2018-01-29,0.602,0.642267,0.646478,0.588,5840000.0,-6.27
31,2018-01-30,0.51,0.591002,0.603,0.5,11150000.0,-15.28
32,2018-01-31,0.507194,0.513567,0.517,0.463001,8359999.999999999,-0.55
33,2018-02-01,0.421712,0.508976,0.521698,0.389,13420000.0,-16.85
34,2018-02-02,0.4,0.421712,0.421712,0.295801,41520000.0,-5.15
35,2018-02-03,0.464,0.404676,0.518541,0.345286,21040000.0,16.00
36,2018-02-04,0.382002,0.458,0.485,0.364001,50160000.0,-17.67
37,2018-02-05,0.317,0.382001,0.396215,0.291541,37060000.0,-17.02
38,2018-02-06,0.359,0.317,0.369196,0.262,53750000.0,13.25
39,2018-02-07,0.331,0.359,0.38,0.32,30360000.0,-7.80
40,2018-02-08,0.345,0.331,0.36097,0.323459,20620000.0,4.23
41,2018-02-09,0.3765,0.345,0.38495,0.320011,16900000.0,9.13
42,2018-02-10,0.381,0.37899,0.4384,0.358,47740000.0,1.20
43,2018-02-11,0.356066,0.383626,0.38382,0.347338,16190000.000000002,-6.54
44,2018-02-12,0.378675,0.356066,0.390009,0.35604,9080000.0,6.35
45,2018-02-13,0.364899,0.378932,0.381149,0.351453,6710000.0,-3.64
46,2018-02-14,0.395507,0.364899,0.39752,0.359301,14750000.0,8.39
47,2018-02-15,0.391873,0.394802,0.405745,0.372696,11270000.0,-0.92
48,2018-02-16,0.395991,0.391873,0.398875,0.374075,8140000.000000001,1.05
49,2018-02-17,0.417151,0.395991,0.420599,0.391253,12430000.0,5.34
50,2018-02-18,0.368394,0.417151,0.417151,0.366168,14850000.0,-11.69
51,2018-02-19,0.379084,0.367938,0.390858,0.367572,12320000.0,2.90
52,2018-02-20,0.34917,0.379084,0.3895,0.34722,17320000.0,-7.89
53,2018-02-21,0.334378,0.348267,0.355876,0.32648,16719999.999999998,-4.24
54,2018-02-22,0.313682,0.334378,0.353337,0.307246,13540000.0,-6.19
55,2018-02-23,0.32601,0.313677,0.336075,0.305394,12200000.0,3.93
56,2018-02-24,0.299075,0.32601,0.332792,0.292451,11080000.0,-8.26
57,2018-02-25,0.323513,0.299075,0.336518,0.296932,12940000.0,8.17
58,2018-02-26,0.324353,0.323513,0.331792,0.304567,12400000.0,0.26
59,2018-02-27,0.330177,0.324353,0.335799,0.319304,8130000.000000001,1.80
60,2018-02-28,0.306633,0.330177,0.335094,0.305569,9780000.0,-7.13
61,2018-03-01,0.302354,0.305614,0.312193,0.286923,18550000.0,-1.40
62,2018-03-02,0.292499,0.302353,0.307875,0.287085,12390000.0,-3.26
63,2018-03-03,0.293513,0.292499,0.307435,0.289524,9000000.0,0.35
64,2018-03-04,0.301967,0.293514,0.304369,0.284829,9430000.0,2.88
65,2018-03-05,0.296646,0.301967,0.319569,0.293415,12320000.0,-1.76
66,2018-03-06,0.27899,0.296646,0.301037,0.278107,14700000.0,-5.95
67,2018-03-07,0.240845,0.27899,0.285028,0.22794,20140000.0,-13.67
68,2018-03-08,0.21432,0.240845,0.249211,0.213202,19030000.0,-11.01
69,2018-03-09,0.216159,0.21432,0.221734,0.184181,25230000.0,0.86
70,2018-03-10,0.200751,0.216159,0.222194,0.196592,20050000.0,-7.13
71,2018-03-11,0.2192,0.200751,0.223094,0.190272,16629999.999999998,9.19
72,2018-03-12,0.218142,0.219201,0.232484,0.20926,22050000.0,-0.48
73,2018-03-13,0.217594,0.218142,0.225151,0.210433,9080000.0,-0.25
74,2018-03-14,0.193638,0.217758,0.229724,0.188172,20510000.0,-11.01
75,2018-03-15,0.184136,0.193638,0.197408,0.168041,31260000.0,-4.91
76,2018-03-16,0.174545,0.184136,0.184231,0.171511,25260000.0,-5.21
77,2018-03-17,0.154946,0.174545,0.177878,0.150697,18980000.0,-11.23
78,2018-03-18,0.154478,0.154946,0.163007,0.123728,82440000.0,-0.30
79,2018-03-19,0.19042,0.153776,0.19042,0.153529,84410000.0,23.27
80,2018-03-20,0.199373,0.190664,0.211138,0.175188,47960000.0,4.70
81,2018-03-21,0.207595,0.199373,0.225195,0.197622,45640000.0,4.12
82,2018-03-22,0.198995,0.207831,0.218529,0.185791,56690000.0,-4.14
83,2018-03-23,0.188561,0.199452,0.199536,0.180007,31120000.0,-5.24
84,2018-03-24,0.186878,0.188561,0.201896,0.182114,44430000.0,-0.89
85,2018-03-25,0.183449,0.186878,0.188925,0.180674,14650000.0,-1.83
86,2018-03-26,0.165689,0.183449,0.185693,0.157145,36920000.0,-9.68
87,2018-03-27,0.15319,0.165689,0.167798,0.14871,27840000.0,-7.54
88,2018-03-28,0.159892,0.153146,0.164318,0.15309,18370000.0,4.37
89,2018-03-29,0.143588,0.159892,0.163144,0.14138,40680000.0,-10.20
90,2018-03-30,0.144917,0.143587,0.150734,0.133364,33080000.0,0.93
91,2018-03-31,0.150646,0.144917,0.158166,0.140883,21760000.0,3.95
92,2018-04-01,0.148256,0.150646,0.156819,0.138634,22530000.0,-1.59
93,2018-04-02,0.153051,0.148256,0.156054,0.146418,15480000.0,3.23
94,2018-04-03,0.170158,0.153051,0.171391,0.152563,44260000.0,11.18
95,2018-04-04,0.152001,0.170538,0.176504,0.148892,65140000.0,-10.67
96,2018-04-05,0.148427,0.152001,0.154261,0.141112,30180000.0,-2.35
97,2018-04-06,0.142585,0.148427,0.150813,0.141271,23130000.0,-3.94
98,2018-04-07,0.146662,0.142585,0.151591,0.142553,37450000.0,2.86
99,2018-04-08,0.156939,0.146662,0.159437,0.146662,15810000.0,7.01
100,2018-04-09,0.150659,0.156939,0.165985,0.145557,56750000.0,-4.00
101,2018-04-10,0.156597,0.150658,0.158667,0.147622,14690000.0,3.94
102,2018-04-11,0.168491,0.156597,0.168992,0.154958,41580000.0,7.60
103,2018-04-12,0.219408,0.168491,0.222001,0.167642,113400000.0,30.22
104,2018-04-13,0.203135,0.219408,0.226033,0.19568,84000000.0,-7.42
105,2018-04-14,0.207402,0.203135,0.214983,0.19658,35880000.0,2.10
106,2018-04-15,0.227754,0.207402,0.230508,0.207309,40130000.0,9.81
107,2018-04-16,0.262363,0.227754,0.263531,0.212652,103480000.0,15.20
108,2018-04-17,0.24383,0.262362,0.274113,0.243758,100360000.0,-7.06
109,2018-04-18,0.263155,0.24365,0.263924,0.24365,24190000.0,7.93
110,2018-04-19,0.271254,0.263155,0.274902,0.261232,38450000.0,3.08
111,2018-04-20,0.305217,0.27141,0.308696,0.249835,57070000.0,12.52
112,2018-04-21,0.285852,0.30521,0.309363,0.268282,51220000.0,-6.34
113,2018-04-22,0.285654,0.285852,0.300395,0.279101,30910000.0,-0.07
114,2018-04-23,0.292559,0.285654,0.294503,0.285525,17350000.0,2.42
115,2018-04-24,0.316117,0.294401,0.324811,0.290786,49390000.0,8.05
116,2018-04-25,0.269878,0.314377,0.317512,0.259967,189980000.0,-14.63
117,2018-04-26,0.295181,0.269878,0.295323,0.258259,101910000.0,9.38
118,2018-04-27,0.28587,0.295201,0.306598,0.284935,106050000.0,-3.15
119,2018-04-28,0.359238,0.28587,0.367369,0.283775,254480000.0,25.66
120,2018-04-29,0.366241,0.359628,0.39029,0.344653,248830000.0,1.95
121,2018-04-30,0.343187,0.366872,0.367698,0.334134,147250000.0,-6.29
122,2018-05-01,0.357734,0.343156,0.361512,0.321108,168660000.0,4.24
123,2018-05-02,0.376018,0.357748,0.380285,0.34775,104210000.0,5.11
124,2018-05-03,0.370227,0.375987,0.393474,0.369011,123330000.0,-1.54
125,2018-05-04,0.361499,0.370743,0.371272,0.349994,87410000.0,-2.36
126,2018-05-05,0.368566,0.361499,0.378821,0.361033,70720000.0,1.96
127,2018-05-06,0.350233,0.368609,0.370548,0.338473,100030000.0,-4.97
128,2018-05-07,0.339907,0.350009,0.350714,0.319535,88710000.0,-2.95
129,2018-05-08,0.32505,0.340142,0.340996,0.319919,66120000.00000001,-4.37
130,2018-05-09,0.32079,0.325559,0.327099,0.302157,90540000.0,-1.31
131,2018-05-10,0.295934,0.321873,0.325024,0.294982,66050000.0,-7.75
132,2018-05-11,0.256429,0.295934,0.296863,0.248753,214870000.0,-13.35
133,2018-05-12,0.265764,0.256429,0.278694,0.234234,193240000.0,3.64
134,2018-05-13,0.277395,0.265952,0.283469,0.257495,104590000.0,4.38
135,2018-05-14,0.266685,0.277395,0.278266,0.253059,123400000.0,-3.86
136,2018-05-15,0.255879,0.266685,0.27541,0.253644,61060000.0,-4.05
137,2018-05-16,0.253037,0.255729,0.257429,0.239832,71620000.0,-1.11
138,2018-05-17,0.241026,0.253018,0.260988,0.238893,61000000.0,-4.75
139,2018-05-18,0.244274,0.241026,0.245665,0.232268,57250000.0,1.35
140,2018-05-19,0.243364,0.244274,0.248626,0.237324,42060000.0,-0.37
141,2018-05-20,0.256475,0.243375,0.261435,0.240253,61870000.0,5.39
142,2018-05-21,0.247407,0.256475,0.260718,0.2458,55330000.0,-3.54
143,2018-05-22,0.221645,0.247407,0.248616,0.220298,66400000.00000001,-10.41
144,2018-05-23,0.19895,0.221624,0.224206,0.19338,149150000.0,-10.24
145,2018-05-24,0.207852,0.198943,0.211154,0.19018,112110000.0,4.47
146,2018-05-25,0.19894,0.208061,0.209296,0.194975,92640000.0,-4.29
147,2018-05-26,0.195814,0.19894,0.20467,0.194783,92170000.0,-1.57
148,2018-05-27,0.193147,0.195821,0.196009,0.191112,86320000.0,-1.36
149,2018-05-28,0.173234,0.193034,0.194831,0.172349,122560000.0,-10.31
150,2018-05-29,0.201922,0.173234,0.208539,0.171661,187910000.0,16.56
151,2018-05-30,0.208753,0.201896,0.216598,0.198114,201900000.0,3.38
152,2018-05-31,0.224001,0.208752,0.22886,0.20413,201740000.0,7.30
153,2018-06-01,0.221124,0.223997,0.228241,0.214764,139370000.0,-1.28
154,2018-06-02,0.227536,0.220929,0.229319,0.217382,129860000.00000001,2.90
155,2018-06-03,0.22705,0.227536,0.237545,0.223466,138620000.0,-0.21
156,2018-06-04,0.212799,0.227044,0.2312,0.20973,140210000.0,-6.28
157,2018-06-05,0.21899,0.212805,0.221481,0.202833,152500000.0,2.91
158,2018-06-06,0.214925,0.218962,0.219962,0.20887,113950000.0,-1.86
159,2018-06-07,0.210978,0.214936,0.219128,0.208757,104690000.0,-1.84
160,2018-06-08,0.204972,0.210529,0.211007,0.201017,102350000.0,-2.85
161,2018-06-09,0.200945,0.204817,0.210413,0.200695,84390000.0,-1.96
162,2018-06-10,0.17402,0.201019,0.201019,0.168981,180520000.0,-13.40
163,2018-06-11,0.179529,0.17402,0.180871,0.164877,114060000.0,3.17
164,2018-06-12,0.163469,0.179617,0.181187,0.158706,116570000.0,-8.95
165,2018-06-13,0.158076,0.163469,0.165891,0.14593,151720000.0,-3.30
166,2018-06-14,0.17072,0.158036,0.175423,0.153353,239780000.0,8.00
167,2018-06-15,0.161217,0.170719,0.17101,0.160255,128410000.0,-5.57
168,2018-06-16,0.162351,0.161208,0.164449,0.158407,88360000.0,0.70
169,2018-06-17,0.160266,0.162574,0.164089,0.160019,88700000.0,-1.28
170,2018-06-18,0.163912,0.160266,0.168173,0.155662,120630000.0,2.27
