SNo,Date,Price,Open,High,Low,Vol.,Change %
663,1/1/2018,752.46,736.77,762,717.94,425460,2.13
664,1/2/2018,858.78,752.46,890,752.46,1470000,14.13
665,1/3/2018,942.01,858.78,954.73,840,1090000,9.69
666,1/4/2018,940,942.01,997,893.24,1220000,-0.21
667,1/5/2018,962.77,939.3,1023.6,930,1040000,2.42
668,1/6/2018,1004.3,962.77,1014.2,951.38,447260,4.31
669,1/7/2018,1115.8,1004.3,1116,999.5,699390,11.1
670,1/8/2018,1129.3,1115.9,1225,968.12,1540000,1.21
671,1/9/2018,1283.7,1129.4,1299,1119.1,1040000,13.67
672,1/10/2018,1248,1285.7,1381.9,1203.2,1330000,-2.78
673,1/11/2018,1135.5,1245.9,1331.8,1102.5,1260000,-9.01
674,1/12/2018,1257.2,1135.1,1285,1083.4,732330,10.72
675,1/13/2018,1380,1257,1423.2,1252.6,709740,9.77
676,1/14/2018,1350,1379.9,1385,1256,618610,-2.17
677,1/15/2018,1273.4,1349.9,1377.9,1264.4,481870,-5.67
678,1/16/2018,1020.1,1275.8,1278.8,868.98,2350000,-19.89
679,1/17/2018,1017.5,1019.6,1088.3,770.1,2400000,-0.25
680,1/18/2018,994.81,1020.1,1079,940,1310000,-2.23
681,1/19/2018,1032.6,993.92,1079,960.1,612190,3.8
682,1/20/2018,1146,1032.6,1160,1029.6,573520,10.98
683,1/21/2018,1047,1146.3,1146.3,1001.5,691690,-8.64
684,1/22/2018,995.08,1047,1084.1,912.76,835880,-4.96
685,1/23/2018,982.98,995.26,1022,905.38,798280,-1.22
686,1/24/2018,1063.2,982.11,1068.8,952.04,606140,8.16
687,1/25/2018,1048.2,1061.8,1102.4,1025.1,567300,-1.41
688,1/26/2018,1047,1048.2,1078.6,983,485470,-0.11
689,1/27/2018,1114.8,1046.9,1125.3,1031.6,370170,6.48
690,1/28/2018,1246.6,1114.7,1264.8,1109,662740,11.82
691,1/29/2018,1175,1245.5,1259.8,1155.9,488440,-5.74
692,1/30/2018,1071.9,1174.36,1178.92,1042.9,1420000,-8.77
693,1/31/2018,1118.08,1072.17,1126.87,1028.03,990740,4.31
694,2/1/2018,1033.55,1118.15,1157.09,970.42,1760000,-7.56
695,2/2/2018,920.85,1033.02,1036.17,766.82,3030000,-10.9
696,2/3/2018,971.49,920.93,997.51,850.38,1070000,5.5
697,2/4/2018,829.43,971.49,972.66,788.79,1340000,-14.62
698,2/5/2018,696.86,828.49,859.72,634.64,2990000,-15.98
699,2/6/2018,783.83,696.75,797.94,568.78,4290000,12.48
700,2/7/2018,753.18,782.72,852.98,719.34,1980000,-3.91
701,2/8/2018,805.4,752.75,831.02,751.76,1250000,6.93
702,2/9/2018,877.85,805.15,879.51,781.97,923810,9
703,2/10/2018,851.39,877.88,908.26,816.72,1050000,-3.01
704,2/11/2018,810.45,851.44,854.1,778.9,988450,-4.81
705,2/12/2018,865.62,811.01,875.52,810.99,837420,6.81
706,2/13/2018,841.38,865.72,868.92,822.98,733530,-2.8
707,2/14/2018,919.67,841.38,922.38,840.82,993860,9.3
708,2/15/2018,927.56,919.53,945.99,902.56,952230,0.86
709,2/16/2018,937.5,927.34,945.68,907.33,662760,1.07
710,2/17/2018,971.54,937.35,972.86,934.49,648320,3.63
711,2/18/2018,913.1,971.57,980.27,903.28,869060,-6.02
712,2/19/2018,940.08,913.09,954.94,910.29,552220,2.95
713,2/20/2018,884.51,940.04,959.41,877.65,788970,-5.91
714,2/21/2018,839.1,884.94,906.43,818.48,1010000,-5.13
715,2/22/2018,803.66,838.97,878.14,789.92,849820,-4.22
716,2/23/2018,856.65,803.56,882.61,787.95,868360,6.59
717,2/24/2018,834.36,854.99,874.49,810.91,669620,-2.6
718,2/25/2018,840.88,834.1,849.36,818.46,507820,0.78
719,2/26/2018,866.99,841.28,879.18,835.34,619750,3.11
720,2/27/2018,871.44,867.06,894.78,861.4,569300,0.51
721,2/28/2018,852.49,871.58,888.06,850.84,550740,-2.17
722,3/1/2018,870.04,852.44,879.53,848.41,514500,2.06
723,3/2/2018,856.09,870.51,875.69,850.47,463750,-1.6
724,3/3/2018,855.91,855.46,868.51,853.45,407540,-0.02
725,3/4/2018,865.53,855.91,867.35,838.06,444490,1.12
726,3/5/2018,850.24,865.53,870.27,850.24,466380,-1.77
727,3/6/2018,814.88,850,851.72,803.9,578560,-4.16
728,3/7/2018,749.98,814.56,824.83,724.98,945380,-7.96
729,3/8/2018,698.96,750.09,772.23,689.41,850150,-6.8
730,3/9/2018,725.89,698.91,728.83,644.46,1130000,3.85
731,3/10/2018,682.52,725.7,746.13,678.46,673800,-5.97
732,3/11/2018,720.12,682.77,733.33,664.53,690940,5.51
733,3/12/2018,697.04,720.12,739.25,678.27,664590,-3.2
734,3/13/2018,689.57,697.06,713.8,680.01,558730,-1.07
735,3/14/2018,612.09,689.67,702.53,587.1,990480,-11.24
736,3/15/2018,610.13,612.08,620.01,572.69,991890,-0.32
737,3/16/2018,600.79,610.36,625.34,585.84,695580,-1.53
738,3/17/2018,550.27,600.48,609.48,544.51,777540,-8.41
739,3/18/2018,536.72,549.96,559.19,454.9,2560000,-2.46
740,3/19/2018,556.16,536.72,558.33,516.31,1460000,3.62
741,3/20/2018,557.08,555.75,566.63,517.02,1160000,0.17
742,3/21/2018,560.24,557.09,589.83,545.87,1010000,0.57
743,3/22/2018,539.87,559.9,577.63,517.81,887950,-3.63
744,3/23/2018,543.42,539.9,543.51,508.36,871890,0.66
745,3/24/2018,520.45,543.15,545.15,520.05,554620,-4.23
746,3/25/2018,523.5,520.44,535.11,513.05,495850,0.59
747,3/26/2018,485.98,523.46,526.22,467.46,1150000,-7.17
748,3/27/2018,448.48,485.97,491.77,446.7,1310000,-7.72
749,3/28/2018,446.84,448.73,465.09,440.84,918120,-0.37
750,3/29/2018,384.12,446.86,449.33,380.85,2010000,-14.03
751,3/30/2018,393.79,384.13,411.17,366.12,1960000,2.52
752,3/31/2018,393.96,393.75,419.07,390.09,1210000,0.04
753,4/1/2018,378.75,394.1,399.46,359.49,1240000,-3.86
754,4/2/2018,385.07,378.85,393.94,375.67,824810,1.67
755,4/3/2018,415.55,385.02,418.78,380.89,1060000,7.92
756,4/4/2018,378.68,415.58,416.38,371.35,1120000,-8.87
757,4/5/2018,381.52,378.62,386.91,367.21,903270,0.75
758,4/6/2018,369.97,381.69,385.7,363.83,700800,-3.03
