SNo,Date,Price,Open,High,Low,Vol.,Change %
202,1/1/2018,3.9,3.51,4.2,3.39,24150000,11.11
203,1/2/2018,3.98,3.9,4.25,3.79,21850000,2.05
204,1/3/2018,4.13,3.98,4.18,3.9,15250000,3.77
205,1/4/2018,4.1,4.13,4.5,3.71,33280000,-0.73
206,1/5/2018,3.76,4.1,4.19,3.62,14460000,-8.29
207,1/6/2018,3.99,3.76,4.14,3.75,10440000,6.12
208,1/7/2018,4.08,3.99,4.44,3.95,21360000,2.26
209,1/8/2018,3.793,4.0832,4.2009,3.2,26300000,-7.03
210,1/9/2018,3.5295,3.7929,3.9199,3.4051,16690000,-6.95
211,1/10/2018,3.7355,3.5379,3.7627,3.1,20590000,5.84
212,1/11/2018,3.356,3.7355,3.799,2.98,25650000,-10.16
213,1/12/2018,3.6389,3.3503,3.6941,3.2206,9890000,8.43
214,1/13/2018,3.8964,3.6389,4.08,3.6357,14420000,7.08
215,1/14/2018,3.7187,3.8964,3.9584,3.5709,11530000,-4.56
216,1/15/2018,3.4734,3.7162,3.7744,3.4186,7780000,-6.6
217,1/16/2018,2.5351,3.4734,3.4779,1.9347,51770000,-27.01
218,1/17/2018,2.7,2.5574,2.9236,1.9421,43840000,6.5
219,1/18/2018,2.71,2.696,3.02,2.5501,19630000,0.37
220,1/19/2018,2.6638,2.71,2.913,2.4,17070000,-1.7
221,1/20/2018,2.99,2.6638,3.141,2.6618,15320000,12.25
222,1/21/2018,2.77,2.9899,2.99,2.61,13460000,-7.36
223,1/22/2018,2.4596,2.77,2.9111,2.123,20930000,-11.21
224,1/23/2018,2.5099,2.4546,2.64193,2.203,14450000,2.05
225,1/24/2018,2.4595,2.5099,2.58,2.3426,10900000,-2.01
226,1/25/2018,2.3491,2.46,2.5955,2.33,8620000,-4.49
227,1/26/2018,2.3599,2.3488,2.46,2.19,11040000,0.46
228,1/27/2018,2.461,2.36,2.5,2.342,6770000,4.28
229,1/28/2018,2.5012,2.4611,2.5596,2.4412,5130000,1.63
230,1/29/2018,2.5604,2.5012,2.5849,2.3791,7370000,2.37
231,1/30/2018,2.21985,2.56233,2.62168,2.15453,17920000,-13.3
232,1/31/2018,2.29694,2.21985,2.34734,2.17535,7860000,3.47
233,2/1/2018,1.89377,2.29694,2.31471,1.72603,25800000,-17.55
234,2/2/2018,1.80681,1.89377,1.94318,1.4302,33410000,-4.59
235,2/3/2018,2.00534,1.80739,2.0468,1.62092,13520000,10.99
236,2/4/2018,1.73602,2.00534,2.07562,1.60967,15750000,-13.43
237,2/5/2018,1.44008,1.73602,1.7756,1.33112,24960000,-17.05
238,2/6/2018,1.59031,1.44008,1.71736,1.20011,31210000,10.43
239,2/7/2018,1.58697,1.5905,1.88469,1.51834,20240000,-0.21
240,2/8/2018,1.76361,1.58697,1.87239,1.58697,11320000,11.13
