SNo,Date,Price,Open,High,Low,Vol.,Change %
496,1/1/2018,225.22,227.17,232.29,217.66,1060000,-0.86
497,1/2/2018,253.31,225.22,262,225.21,2840000,12.47
498,1/3/2018,244.99,253.31,258.54,240.72,1860000,-3.28
499,1/4/2018,238.91,244.99,245,226.79,2150000,-2.48
500,1/5/2018,246.23,238.91,251.97,236.24,2030000,3.06
501,1/6/2018,279.42,246.23,304,245,3430000,13.48
502,1/7/2018,272.06,279.42,286.95,265.24,1530000,-2.63
503,1/8/2018,255.35,272.08,273.67,231.64,2540000,-6.14
504,1/9/2018,246.79,255.21,258.75,238.75,1740000,-3.35
505,1/10/2018,248.5,246.9,249.67,232.52,1960000,0.69
506,1/11/2018,226.91,249.01,253,220,2650000,-8.69
507,1/12/2018,235.52,226.9,241.97,220.52,1430000,3.79
508,1/13/2018,258.02,235.52,263,235.51,1670000,9.55
509,1/14/2018,237.89,258.44,267.98,233.82,1650000,-7.8
510,1/15/2018,232.51,237.89,244.2,231.11,924210,-2.26
511,1/16/2018,191.13,232.51,233.21,147,6110000,-17.8
512,1/17/2018,189,191.13,214.89,135,7260000,-1.11
513,1/18/2018,192.6,189,211,176.31,3570000,1.9
514,1/19/2018,192.5,192.57,203,187.1,1750000,-0.05
515,1/20/2018,210.91,192.5,214.88,192.5,1580000,9.56
516,1/21/2018,191.25,210.91,211.09,183.12,1510000,-9.32
517,1/22/2018,179.42,191.25,194.7,165.5,1970000,-6.19
518,1/23/2018,178.27,179.42,186.03,165.01,1540000,-0.64
519,1/24/2018,180.6,178.27,184.69,172.23,1130000,1.31
520,1/25/2018,178.86,180.59,184.78,175,998430,-0.96
521,1/26/2018,175.71,178.86,181.71,166.15,1170000,-1.76
522,1/27/2018,179.65,175.71,182,173.96,748730,2.24
523,1/28/2018,191.12,179.65,192.47,178.65,984830,6.38
524,1/29/2018,179.57,191.12,191.12,175.56,908180,-6.04
525,1/30/2018,166.365,181.299,181.37,161.049,1220000,-7.35
526,1/31/2018,163.879,166.364,167.225,157.317,1050000,-1.49
527,2/1/2018,142.528,163.88,166.254,130.041,2010000,-13.03
