SNo,Date,Price,Open,High,Low,Vol.,Change %
1,8/24/2021,1.24856,1.2463,1.26486,1.21836,781950000,0.19
2,8/23/2021,1.24617,1.22577,1.30288,1.2115,927810000,1.67
3,8/22/2021,1.22574,1.21654,1.2554,1.18284,530740000,0.75
4,8/21/2021,1.21663,1.26316,1.28262,1.20444,588180000,-3.69
5,8/20/2021,1.26318,1.23482,1.28762,1.19994,871180000,2.29
6,8/19/2021,1.23489,1.14435,1.23489,1.09047,103000000,7.9
7,8/18/2021,1.14452,1.09869,1.19405,1.0522,126000000,4.17
8,8/17/2021,1.09875,1.18577,1.22258,1.08688,127000000,-7.34
9,8/16/2021,1.18577,1.28414,1.32792,1.15028,128000000,-7.68
10,8/15/2021,1.28447,1.28017,1.34807,1.22585,162000000,0.34
11,8/14/2021,1.28015,1.09002,1.30885,1.07095,204000000,17.45
12,8/13/2021,1.08995,0.96602,1.09604,0.95173,103000000,12.98
13,8/12/2021,0.9647,1.01229,1.04384,0.92468,144000000,-4.71
14,8/11/2021,1.01233,0.85131,1.088,0.84927,163000000,18.91
15,8/10/2021,0.85131,0.81707,0.86177,0.80027,714810000,4.17
16,8/9/2021,0.81724,0.77911,0.82748,0.76058,698490000,4.89
17,8/8/2021,0.77911,0.81666,0.84032,0.77291,771730000,-4.6
18,8/7/2021,0.81666,0.74711,0.81814,0.74124,840120000,9.33
19,8/6/2021,0.74695,0.73306,0.75272,0.72261,432770000,1.89
20,8/5/2021,0.73307,0.73073,0.73864,0.70237,443990000,0.33
21,8/4/2021,0.73064,0.71325,0.73973,0.6973,458200000,2.44
22,8/3/2021,0.71325,0.7385,0.74441,0.7014,569490000,-3.43
23,8/2/2021,0.73859,0.72413,0.77281,0.71673,570730000,1.91
24,8/1/2021,0.72477,0.74443,0.77765,0.71333,638450000,-2.63
25,7/31/2021,0.74434,0.75206,0.75794,0.73811,499420000,-0.97
26,7/30/2021,0.75161,0.74829,0.76911,0.71526,848520000,0.46
27,7/29/2021,0.7482,0.73316,0.76498,0.69777,716250000,2.27
28,7/28/2021,0.73159,0.64548,0.75232,0.63123,165000000,13.34
29,7/27/2021,0.64548,0.62379,0.65232,0.61272,587130000,3.46
30,7/26/2021,0.62389,0.60685,0.67746,0.60502,109000000,2.81
31,7/25/2021,0.60685,0.60496,0.60709,0.59105,339100000,0.03
32,7/24/2021,0.60665,0.60909,0.61383,0.60219,463400000,-0.39
33,7/23/2021,0.60902,0.59191,0.60974,0.57613,489180000,2.89
34,7/22/2021,0.59192,0.5714,0.60286,0.56107,588630000,3.59
35,7/21/2021,0.57139,0.52863,0.58313,0.51981,673860000,8.09
36,7/20/2021,0.52864,0.55711,0.5692,0.51755,574850000,-5.11
37,7/19/2021,0.55711,0.58674,0.58871,0.55441,443790000,-5.06
38,7/18/2021,0.58677,0.58167,0.60112,0.5728,326270000,0.88
39,7/17/2021,0.58164,0.58928,0.59714,0.56785,388910000,-1.3
40,7/16/2021,0.5893,0.59773,0.61707,0.58802,407510000,-1.36
41,7/15/2021,0.59744,0.61985,0.62613,0.58871,465250000,-3.62
42,7/14/2021,0.61985,0.61918,0.62455,0.5869,488040000,0.07
43,7/13/2021,0.6194,0.62899,0.63948,0.6102,438170000,-1.52
44,7/12/2021,0.62899,0.63617,0.65701,0.61897,484430000,-1.12
45,7/11/2021,0.6361,0.6247,0.64359,0.61714,277980000,1.76
46,7/10/2021,0.62511,0.6371,0.64841,0.61332,388830000,-1.88
47,7/9/2021,0.63706,0.62307,0.64523,0.5934,519780000,2.24
48,7/8/2021,0.6231,0.6521,0.65382,0.61152,616300000,-4.44
49,7/7/2021,0.65207,0.66481,0.67327,0.65032,394690000,-1.92
