SNo,Date,Price,Open,High,Low,Vol.,Change %
2725,1/1/2018,13444.9,13850.5,13921.5,12877.7,78430,-2.93
2726,1/2/2018,14754.1,13444.9,15306.1,12934.2,137730,9.74
2727,1/3/2018,15156.6,14754.1,15435,14579.7,106540,2.73
2728,1/4/2018,15180.1,15156.5,15408.7,14244.7,110970,0.15
2729,1/5/2018,16954.8,15180.1,17126.9,14832.4,141960,11.69
2730,1/6/2018,17172.3,16954.8,17252.8,16286.6,83930,1.28
2731,1/7/2018,16228.2,17174.5,17184.8,15791.1,79010,-5.5
2732,1/8/2018,14976.2,16228.3,16302.9,13902.3,142450,-7.71
2733,1/9/2018,14778.5,14976.2,15324.6,14613.4,71400,-1.32
2734,1/10/2018,15043,14778.5,15045.4,13613.1,87070,1.79
2735,1/11/2018,13535.4,15046.7,15109.1,13048.3,167810,-10.02
2736,1/12/2018,13886.7,13529.2,14176.4,13410,82370,2.6
2737,1/13/2018,14292.2,13896,14640.7,13888.2,61140,2.92
2738,1/14/2018,13695.2,14291.9,14446.1,13094.7,85120,-4.18
2739,1/15/2018,13697.5,13695.5,14396.6,13475.4,73270,0.02
2740,1/16/2018,11362,13704.4,13711,10050.7,317100,-17.05
2741,1/17/2018,11192.3,11357.7,11769.6,9271.3,361800,-1.49
2742,1/18/2018,11245.4,11202,12004.7,10660.2,242450,0.47
2743,1/19/2018,11580.2,11229.6,11973.2,10901.5,170740,2.98
2744,1/20/2018,12858.9,11579.2,13082.2,11567.3,143900,11.04
2745,1/21/2018,11594.9,12857.1,12860.2,11164.5,206960,-9.83
2746,1/22/2018,10864.8,11597.5,11970.9,10136.8,201730,-6.3
2747,1/23/2018,10903.2,10869,11438,10056.6,188370,0.35
2748,1/24/2018,11452.3,10899.4,11549.5,10584.5,136060,5.04
2749,1/25/2018,11203,11439.9,11740.9,10983.8,181810,-2.18
2750,1/26/2018,11118.1,11203.1,11655.3,10389.4,253910,-0.76
2751,1/27/2018,11467.5,11118,11621.7,10908.4,163490,3.14
2752,1/28/2018,11795.1,11471.2,12112.7,11433.3,154630,2.86
2753,1/29/2018,11244.8,11794.9,11888.1,11119,137420,-4.67
2754,1/30/2018,10166,11244.5,11277.2,9917.7,264720,-9.59
2755,1/31/2018,10265.4,10166.3,10397.7,9742.2,208470,0.98
2756,2/1/2018,9181.1,10266.2,10303,8789.2,358400,-10.56
2757,2/2/2018,8893.2,9179.8,9201.4,7915.8,519400,-3.14
2758,2/3/2018,9241.1,8894.4,9506.9,8249.3,248710,3.91
2759,2/4/2018,8222.2,9241.5,9382.1,7932.1,280940,-11.03
2760,2/5/2018,6938.5,8220.8,8383.2,6651.9,593890,-15.61
2761,2/6/2018,7701.2,6939.3,7896.2,5996.6,886880,10.99
2762,2/7/2018,7594.7,7693.8,8536.5,7196.6,445620,-1.38
2763,2/8/2018,8164.2,7595.1,8489.9,7595.1,296100,7.5
2764,2/9/2018,8699.8,8163.6,8735.6,7784.6,233940,6.56
2765,2/10/2018,8559.6,8697.3,9066.6,8172.2,263530,-1.61
2766,2/11/2018,8081.9,8559.7,8564.2,7843.7,236200,-5.58
2767,2/12/2018,8903.5,8083.6,8984.9,8083.6,238670,10.17
2768,2/13/2018,8539.2,8906.2,8942.7,8378,195870,-4.09
2769,2/14/2018,9476.3,8542.6,9500,8541.6,246880,10.97
2770,2/15/2018,10037.3,9475.6,10206.8,9348.5,291280,5.92
2771,2/16/2018,10178.7,10031.3,10294.3,9707.7,206440,1.41
2772,2/17/2018,11073.5,10177.3,11095.9,10070.9,224760,8.79
2773,2/18/2018,10398.8,11073.7,11271.6,10137.2,288910,-6.09
