SNo,Date,Price,Open,High,Low,Vol.,Change %
314,1/1/2018,0.4848,0.354,0.5231,0.3521,142320000,36.95
315,1/2/2018,0.557,0.4848,0.5898,0.462,100040000,14.89
316,1/3/2018,0.886,0.557,0.9199,0.5524,156440000,59.07
317,1/4/2018,0.6948,0.886,0.91,0.625,100030000,-21.58
318,1/5/2018,0.6351,0.6948,0.78,0.5353,77250000,-8.59
319,1/6/2018,0.6883,0.6351,0.77,0.581,42880000,8.38
320,1/7/2018,0.7054,0.6883,0.7349,0.672,18200000,2.48
321,1/8/2018,0.614,0.7054,0.709,0.5175,33450000,-12.96
322,1/9/2018,0.56237,0.614,0.643,0.54812,22200000,-8.41
323,1/10/2018,0.55799,0.56762,0.5744,0.4649,43390000,-0.78
324,1/11/2018,0.55811,0.55799,0.62656,0.425,71320000,0.02
325,1/12/2018,0.67064,0.55811,0.71009,0.52,39540000,20.16
326,1/13/2018,0.65938,0.672,0.71657,0.62943,17440000,-1.68
327,1/14/2018,0.61938,0.65938,0.65938,0.5649,15790000,-6.07
328,1/15/2018,0.5951,0.61938,0.674,0.59,13250000,-3.92
329,1/16/2018,0.43,0.5951,0.602,0.32,77530000,-27.74
330,1/17/2018,0.475,0.43,0.50439,0.3,78200000,10.47
331,1/18/2018,0.492,0.475,0.5618,0.44,57890000,3.58
332,1/19/2018,0.5,0.492,0.528,0.46296,20080000,1.63
333,1/20/2018,0.526,0.5,0.55,0.48912,21960000,5.2
334,1/21/2018,0.46,0.526,0.53,0.431,19310000,-12.55
335,1/22/2018,0.478,0.46,0.53,0.421,37140000,3.91
336,1/23/2018,0.484,0.47754,0.518,0.429,25230000,1.26
337,1/24/2018,0.56871,0.484,0.5897,0.47,44420000,17.5
338,1/25/2018,0.608,0.56884,0.648,0.55,37320000,6.91
339,1/26/2018,0.6271,0.608,0.64822,0.544,34340000,3.14
340,1/27/2018,0.611,0.6271,0.6399,0.606,12330000,-2.57
341,1/28/2018,0.624,0.611,0.635,0.6074,12840000,2.13
342,1/29/2018,0.57936,0.624,0.62891,0.5652,12710000,-7.15
343,1/30/2018,0.48754,0.57942,0.57942,0.46334,24280000,-15.85
344,1/31/2018,0.53293,0.48754,0.54844,0.44135,16920000,9.31
345,2/1/2018,0.45406,0.53293,0.54095,0.42181,19100000,-14.8
346,2/2/2018,0.41505,0.45408,0.45408,0.30018,50480000,-8.59
347,2/3/2018,0.44756,0.41505,0.48514,0.3511,25020000,7.83
348,2/4/2018,0.37546,0.44756,0.47344,0.35633,18760000,-16.11
349,2/5/2018,0.32367,0.37546,0.41928,0.29227,34900000,-13.79
350,2/6/2018,0.36328,0.32184,0.36515,0.25934,57550000,12.24
351,2/7/2018,0.33171,0.36328,0.38876,0.3295,27000000,-8.69
352,2/8/2018,0.35314,0.33171,0.37376,0.33145,14690000,6.46
353,2/9/2018,0.39192,0.35314,0.3989,0.33598,15230000,10.98
354,2/10/2018,0.38862,0.39192,0.43739,0.36324,18180000,-0.84
355,2/11/2018,0.36108,0.38842,0.38935,0.33983,13570000,-7.09
356,2/12/2018,0.38479,0.36108,0.39394,0.35953,6010000,6.57
357,2/13/2018,0.39773,0.38479,0.42532,0.36053,16130000,3.36
358,2/14/2018,0.44813,0.39773,0.44996,0.39115,13640000,12.67
359,2/15/2018,0.4405,0.44813,0.45622,0.42974,11330000,-1.7
360,2/16/2018,0.44756,0.4405,0.45252,0.43162,4300000,1.6
361,2/17/2018,0.47279,0.44756,0.47751,0.44517,8280000,5.64
362,2/18/2018,0.43574,0.47279,0.47691,0.42113,8190000,-7.84
363,2/19/2018,0.44306,0.43574,0.45455,0.43263,4990000,1.68
364,2/20/2018,0.39012,0.44306,0.44891,0.38602,10050000,-11.95
365,2/21/2018,0.37552,0.39012,0.42236,0.36415,15270000,-3.74
366,2/22/2018,0.34678,0.37552,0.39539,0.34063,12910000,-7.65
367,2/23/2018,0.36712,0.34678,0.37853,0.33652,7760000,5.87
368,2/24/2018,0.34069,0.36712,0.37363,0.32863,5940000,-7.2
369,2/25/2018,0.34733,0.34069,0.3545,0.32817,3550000,1.95
370,2/26/2018,0.35443,0.34733,0.36763,0.33557,5870000,2.04
371,2/27/2018,0.35603,0.35443,0.36996,0.34903,7210000,0.45
372,2/28/2018,0.33106,0.35808,0.36344,0.32945,6640000,-7.01
373,3/1/2018,0.33641,0.33048,0.34975,0.31528,7620000,1.62
374,3/2/2018,0.31823,0.33641,0.34015,0.31767,4960000,-5.41
375,3/3/2018,0.34709,0.31823,0.34818,0.31199,5230000,9.07
376,3/4/2018,0.3619,0.34709,0.36496,0.33974,9120000,4.27
377,3/5/2018,0.34959,0.3619,0.39977,0.34915,11180000,-3.4
378,3/6/2018,0.3313,0.34875,0.36352,0.32967,5700000,-5.23
379,3/7/2018,0.32394,0.3313,0.3467,0.29095,11500000,-2.22
380,3/8/2018,0.30883,0.32394,0.33759,0.29939,9240000,-4.66
381,3/9/2018,0.30756,0.30883,0.31102,0.26138,12280000,-0.41
382,3/10/2018,0.28674,0.30756,0.31744,0.28285,3040000,-6.77
383,3/11/2018,0.30397,0.28674,0.30603,0.27181,4940000,6.01
384,3/12/2018,0.28878,0.30397,0.3101,0.28093,5130000,-5
385,3/13/2018,0.28802,0.28878,0.29792,0.27918,3660000,-0.26
386,3/14/2018,0.24561,0.28802,0.29575,0.23546,8910000,-14.73
387,3/15/2018,0.23951,0.24561,0.24798,0.21447,12310000,-2.49
388,3/16/2018,0.22873,0.23951,0.24178,0.22692,4850000,-4.5
389,3/17/2018,0.20818,0.22868,0.23418,0.19965,11130000,-8.98
390,3/18/2018,0.21915,0.20818,0.22965,0.15854,29930000,5.27
391,3/19/2018,0.2474,0.21915,0.24755,0.21027,21620000,12.89
392,3/20/2018,0.26681,0.24721,0.28073,0.23215,15660000,7.85
393,3/21/2018,0.2505,0.26681,0.2727,0.24504,14300000,-6.11
394,3/22/2018,0.24135,0.2505,0.25785,0.2241,14870000,-3.65
395,3/23/2018,0.23683,0.24135,0.24145,0.22233,8260000,-1.87
