SNo,Date,Price,Open,High,Low,Vol.,Change %
54,1/1/2018,8.45,8.53,8.7,7.8,642510,-0.94
55,1/2/2018,8.72,8.45,9.11,8.09,1230000,3.2
56,1/3/2018,9.3,8.72,9.47,8.27,926410,6.65
57,1/4/2018,9.14,9.3,9.46,8.56,918410,-1.72
58,1/5/2018,14.88,9.14,16.82,8.97,2600000,62.8
59,1/6/2018,22.6,14.89,23.6,14.7,2660000,51.88
60,1/7/2018,18.59,22.6,22.66,18.05,1380000,-17.74
61,1/8/2018,18,18.59,19.3,14,2000000,-3.17
62,1/9/2018,17.4,18,20.61,16.43,1260000,-3.33
63,1/10/2018,17.48,17.4,17.56,14.6,1130000,0.46
64,1/11/2018,21.33,17.5,23,13.9,3540000,22.04
65,1/12/2018,22.05,20.72,24.64,19.28,2920000,3.38
66,1/13/2018,22.09,22.37,23.5,21.1,1080000,0.17
67,1/14/2018,20.45,22.1,22.1,18.27,1380000,-7.41
68,1/15/2018,19.44,20.42,23.23,19.05,2290000,-4.96
69,1/16/2018,13,19.44,19.44,10,9930000,-33.12
70,1/17/2018,14.1,13.01,15.66,9.4,9970000,8.5
71,1/18/2018,14.14,14.3,15.9,13.1,6700000,0.25
72,1/19/2018,14.93,14.02,15.48,13.5,3000000,5.59
73,1/20/2018,16.11,14.95,16.65,14.82,2620000,7.88
74,1/21/2018,14.13,16.2,16.26,13.05,3320000,-12.24
75,1/22/2018,12.9,14.16,14.48,11.66,2880000,-8.73
76,1/23/2018,13.1,12.9,13.88,11.64,2340000,1.57
77,1/24/2018,13.77,13.1,14.29,12.6,1950000,5.07
78,1/25/2018,13.19,13.8,14.15,13.01,1430000,-4.18
79,1/26/2018,13.17,13.19,13.6,12.01,1790000,-0.16
80,1/27/2018,13.4,13.13,13.55,12.85,992880,1.75
81,1/28/2018,13.77,13.4,14.01,13.3,1380000,2.79
82,1/29/2018,12.81,13.77,13.87,12.74,857950,-6.96
83,1/30/2018,11.47,12.81,12.84,11.11,1320000,-10.46
84,1/31/2018,11.31,11.47,11.5,10.55,947120,-1.41
85,2/1/2018,9.51,11.31,11.45,8.66,2170000,-15.9
86,2/2/2018,9.75,9.51,10.7,7.31,4020000,2.47
