SNo,Date,Price,Open,High,Low,Vol.,Change %
213,1/1/2018,0.008678,0.008927,0.00899,0.00796,575220000,-2.79
214,1/2/2018,0.009,0.008678,0.009878,0.008316,721150000,3.71
215,1/3/2018,0.009205,0.009,0.009345,0.00834,724340000,2.28
216,1/4/2018,0.009613,0.009205,0.0103,0.008559,634480000,4.43
217,1/5/2018,0.01255,0.009613,0.01395,0.009434,672260000,30.55
218,1/6/2018,0.01463,0.01255,0.0175,0.01201,612550000,16.57
219,1/7/2018,0.017,0.01463,0.019,0.014,612390000,16.2
220,1/8/2018,0.01542,0.017,0.018,0.01542,175970000,-9.29
221,1/9/2018,0.0131,0.014773,0.015441,0.012394,503010000,-15.05
222,1/10/2018,0.012839,0.013104,0.0136,0.010701,409950000,-1.99
223,1/11/2018,0.011189,0.012868,0.01422,0.0101,520260000,-12.85
224,1/12/2018,0.012566,0.011188,0.013158,0.010708,405010000,12.31
225,1/13/2018,0.012259,0.012561,0.013295,0.012021,415580000,-2.44
226,1/14/2018,0.011232,0.012263,0.012345,0.01056,433410000,-8.38
227,1/15/2018,0.009721,0.011243,0.0114,0.009679,412590000,-13.45
228,1/16/2018,0.006564,0.009701,0.009757,0.005551,681080000,-32.48
229,1/17/2018,0.00762,0.006562,0.007879,0.005416,621350000,16.09
230,1/18/2018,0.00753,0.007623,0.009238,0.007052,610960000,-1.18
231,1/19/2018,0.007787,0.007532,0.008466,0.007231,507540000,3.41
232,1/20/2018,0.008359,0.007779,0.008654,0.0076,490140000,7.35
233,1/21/2018,0.006975,0.008359,0.008385,0.006794,537240000,-16.56
234,1/22/2018,0.00665,0.006982,0.007601,0.006169,599130000,-4.66
235,1/23/2018,0.006605,0.006644,0.006995,0.006082,600760000,-0.68
236,1/24/2018,0.00706,0.006558,0.0072,0.006382,558020000,6.89
237,1/25/2018,0.00749,0.00706,0.007696,0.00685,551980000,6.09
238,1/26/2018,0.007169,0.007484,0.008294,0.006608,487910000,-4.29
239,1/27/2018,0.007383,0.007154,0.007499,0.007072,433720000,2.99
240,1/28/2018,0.00761,0.007383,0.00814,0.00735,371690000,3.07
241,1/29/2018,0.006942,0.00761,0.00765,0.006866,396770000,-8.78
242,1/30/2018,0.006136,0.007016,0.007039,0.006071,350670000,-11.62
243,1/31/2018,0.006006,0.006136,0.006237,0.005805,373840000,-2.11
244,2/1/2018,0.005126,0.006006,0.00611,0.004932,497900000,-14.65
245,2/2/2018,0.004566,0.005126,0.005127,0.003531,680940000,-10.93
246,2/3/2018,0.00515,0.004527,0.00578,0.004211,528220000,12.79
247,2/4/2018,0.00441,0.00515,0.005309,0.004253,493870000,-14.37
248,2/5/2018,0.003547,0.004413,0.004491,0.003465,628560000,-19.58
249,2/6/2018,0.00442,0.003547,0.004437,0.003048,908750000,24.6
250,2/7/2018,0.004222,0.004418,0.004799,0.003922,623930000,-4.48
251,2/8/2018,0.00458,0.004222,0.004832,0.004212,403360000,8.49
252,2/9/2018,0.005028,0.00458,0.005049,0.004308,452540000,9.79
253,2/10/2018,0.005018,0.005027,0.005596,0.004776,623050000,-0.19
254,2/11/2018,0.004942,0.005018,0.005242,0.004637,428130000,-1.53
255,2/12/2018,0.005548,0.004942,0.005569,0.004939,384770000,12.27
256,2/13/2018,0.005694,0.005548,0.005699,0.005273,356000000,2.62
257,2/14/2018,0.006785,0.005696,0.007088,0.00569,1250000000,19.16
258,2/15/2018,0.007303,0.006789,0.008065,0.006713,1560000000,7.64
259,2/16/2018,0.006952,0.007303,0.007414,0.006423,886210000,-4.81
260,2/17/2018,0.007035,0.006952,0.007262,0.006779,597290000,1.2
261,2/18/2018,0.006463,0.007035,0.007136,0.006213,593330000,-8.14
262,2/19/2018,0.006712,0.006468,0.006852,0.006314,379130000,3.87
263,2/20/2018,0.007152,0.006712,0.00843,0.006414,1630000000,6.54
264,2/21/2018,0.006648,0.007162,0.007502,0.006428,966620000,-7.04
265,2/22/2018,0.006233,0.006648,0.00691,0.005999,751210000,-6.25
266,2/23/2018,0.006675,0.006233,0.006863,0.005979,549220000,7.09
267,2/24/2018,0.006272,0.006675,0.006816,0.006216,421000000,-6.04
268,2/25/2018,0.006083,0.006272,0.006377,0.00586,376450000,-3.01
269,2/26/2018,0.006294,0.006083,0.006501,0.005859,307480000,3.47
270,2/27/2018,0.00633,0.006294,0.006536,0.006196,296320000,0.58
271,2/28/2018,0.00607,0.00633,0.006394,0.006043,261750000,-4.11
272,3/1/2018,0.006193,0.00607,0.006253,0.005922,218760000,2.03
273,3/2/2018,0.005549,0.006193,0.00627,0.005508,380890000,-10.41
274,3/3/2018,0.005262,0.005549,0.005711,0.005244,377760000,-5.16
275,3/4/2018,0.005466,0.005262,0.005496,0.005159,298530000,3.87
276,3/5/2018,0.005261,0.005466,0.005512,0.005231,207740000,-3.75
277,3/6/2018,0.004606,0.005265,0.005265,0.004572,446810000,-12.45
278,3/7/2018,0.00406,0.004606,0.004691,0.004042,508640000,-11.85
279,3/8/2018,0.003995,0.00406,0.004451,0.003879,557510000,-1.6
280,3/9/2018,0.004151,0.003995,0.004166,0.00359,416080000,3.9
281,3/10/2018,0.003989,0.004151,0.004416,0.003956,312140000,-3.91
282,3/11/2018,0.004159,0.003988,0.004231,0.003854,457170000,4.28
283,3/12/2018,0.00404,0.004159,0.004216,0.003868,288110000,-2.88
284,3/13/2018,0.003971,0.00404,0.004144,0.003915,224990000,-1.71
285,3/14/2018,0.003599,0.003971,0.004044,0.003532,336980000,-9.36
286,3/15/2018,0.003541,0.003596,0.003709,0.003314,537900000,-1.62
287,3/16/2018,0.003523,0.003541,0.003648,0.003452,338280000,-0.5
288,3/17/2018,0.003334,0.003523,0.003577,0.003283,303570000,-5.37
289,3/18/2018,0.003124,0.003328,0.003328,0.002817,472840000,-6.29
290,3/19/2018,0.003486,0.003132,0.003529,0.003132,474290000,11.58
291,3/20/2018,0.003657,0.003487,0.003753,0.003373,363390000,4.9
292,3/21/2018,0.003641,0.003657,0.003855,0.003587,344310000,-0.42
293,3/22/2018,0.003597,0.003635,0.003782,0.003424,306870000,-1.23
294,3/23/2018,0.003566,0.003597,0.003608,0.00338,268760000,-0.85
295,3/24/2018,0.003517,0.003566,0.003645,0.003506,273400000,-1.38
296,3/25/2018,0.00347,0.003516,0.003516,0.003428,232570000,-1.34
297,3/26/2018,0.003283,0.00347,0.003492,0.003156,253170000,-5.39
298,3/27/2018,0.003154,0.003283,0.003302,0.003126,257780000,-3.91
299,3/28/2018,0.003162,0.003153,0.003249,0.003128,236870000,0.25
300,3/29/2018,0.002872,0.003164,0.003202,0.00284,333200000,-9.17
301,3/30/2018,0.002765,0.002874,0.00294,0.002722,369790000,-3.75
302,3/31/2018,0.0028,0.002765,0.002913,0.002765,236640000,1.28
303,4/1/2018,0.002707,0.0028,0.002825,0.002632,189050000,-3.31
304,4/2/2018,0.002801,0.002707,0.002824,0.002699,195950000,3.45
305,4/3/2018,0.003011,0.002801,0.003046,0.002786,275980000,7.52
306,4/4/2018,0.002769,0.003011,0.003026,0.002751,263210000,-8.05
307,4/5/2018,0.002803,0.002769,0.002838,0.002709,226260000,1.21
308,4/6/2018,0.002718,0.002807,0.002831,0.002692,239680000,-3.02
309,4/7/2018,0.002817,0.002717,0.002872,0.002711,215810000,3.63
310,4/8/2018,0.002859,0.002818,0.002887,0.002796,201540000,1.5
311,4/9/2018,0.002796,0.002859,0.002937,0.002768,262480000,-2.2
312,4/10/2018,0.003086,0.002796,0.003101,0.002788,530060000,10.37
313,4/11/2018,0.003398,0.003086,0.003556,0.003043,799540000,10.12
314,4/12/2018,0.00388,0.003398,0.003894,0.003231,767890000,14.19
315,4/13/2018,0.003962,0.00388,0.004362,0.003766,648650000,2.11
316,4/14/2018,0.004153,0.003962,0.004234,0.003856,517260000,4.81
317,4/15/2018,0.004634,0.004153,0.004674,0.00415,501770000,11.59
