SNo,Date,Price,Open,High,Low,Vol.,Change %
1068,1/1/2018,335.1,331.83,344.8,314.5,25790,0.99
1069,1/2/2018,364.17,335.1,370.48,335.1,62420,8.68
1070,1/3/2018,386,364.17,390,360,44560,5.99
1071,1/4/2018,368.1,386,387.83,353.06,40070,-4.64
1072,1/5/2018,356.96,368.1,377.49,338.51,38300,-3.03
1073,1/6/2018,394,356.96,395.99,349.25,33660,10.38
1074,1/7/2018,400.25,394,421,391,59970,1.59
1075,1/8/2018,400.05,400.25,409.37,338.85,45470,-0.05
1076,1/9/2018,408.032,400.05,447.804,392.826,94130,2
1077,1/10/2018,403.437,408.032,416.293,362.18,49910,-1.13
1078,1/11/2018,351.15,406.406,416.375,339.988,42500,-12.96
1079,1/12/2018,387.236,353.017,390.223,338.045,34130,10.28
1080,1/13/2018,413.9,387.236,428.815,386.973,42580,6.89
1081,1/14/2018,393.641,413.9,434.18,370,32130,-4.89
1082,1/15/2018,413,393.641,436.754,383.585,47160,4.92
1083,1/16/2018,308.562,413,417,255,151040,-25.29
1084,1/17/2018,315,308.562,326.635,237.392,98400,2.09
1085,1/18/2018,306.125,315,341.143,296.372,69210,-2.82
1086,1/19/2018,361.498,306.125,363.2,300.449,51060,18.09
1087,1/20/2018,383.99,361.498,406,351,89720,6.22
1088,1/21/2018,343.734,383.99,388,331,36500,-10.48
1089,1/22/2018,314,343.734,355,285,49190,-8.65
1090,1/23/2018,306.786,314,321.914,284,32610,-2.3
1091,1/24/2018,318.6,306.786,326.259,297.717,24110,3.85
1092,1/25/2018,315.613,318.6,328,305.1,13720,-0.94
1093,1/26/2018,324,315.613,328.91,288.112,33190,2.66
1094,1/27/2018,325.935,324,334.722,308,23000,0.6
1095,1/28/2018,332.992,325.935,341.25,321.014,15990,2.17
1096,1/29/2018,314,332.992,339.712,310.51,16040,-5.7
1097,1/30/2018,275.92,315.118,316.466,268.211,78310,-12.13
1098,1/31/2018,274.669,275.92,284.231,266.309,42540,-0.45
1099,2/1/2018,241.975,274.276,278.8,230.516,65220,-11.9
1100,2/2/2018,236.979,242.014,252.011,189.385,134270,-2.06
1101,2/3/2018,252.691,236.979,258.888,215.908,44530,6.63
1102,2/4/2018,219.866,252.676,258.553,214.471,49240,-12.99
1103,2/5/2018,180.521,219.867,222.875,166.779,120330,-17.89
1104,2/6/2018,209.201,180.526,213.287,150.141,129190,15.89
1105,2/7/2018,205.708,209.201,231.959,190.827,84410,-1.67
1106,2/8/2018,247.974,206.714,255.277,206.661,64110,20.55
1107,2/9/2018,258.173,247.974,258.753,233.09,58360,4.11
1108,2/10/2018,247.067,258.053,269.502,240.629,55640,-4.3
1109,2/11/2018,227.667,247.067,247.155,217.117,50540,-7.85
1110,2/12/2018,247.338,227.667,251.531,227.559,31110,8.64
1111,2/13/2018,233.538,247.341,248.614,229.106,32900,-5.58
1112,2/14/2018,274.202,233.538,274.803,233.52,75690,17.41
1113,2/15/2018,295.726,274.685,300.889,262.513,63580,7.85
1114,2/16/2018,293.115,295.719,297.949,275.43,47100,-0.88
1115,2/17/2018,320.587,292.977,330.706,290.178,69750,9.37
1116,2/18/2018,295.34,320.587,321.871,287.344,52330,-7.88
1117,2/19/2018,314.457,295.697,317.89,293.34,37100,6.47
1118,2/20/2018,301.965,314.408,319.877,300.9,44990,-3.97
1119,2/21/2018,308.049,301.783,330.428,284.324,104800,2.01
1120,2/22/2018,274.875,308.055,317.984,273.733,83240,-10.77
1121,2/23/2018,279.445,274.891,295.17,263.618,75490,1.66
1122,2/24/2018,268.534,279.455,289.599,259.88,53890,-3.9
1123,2/25/2018,278.085,268.491,280.342,263.692,31310,3.56
1124,2/26/2018,291.174,278.08,296.97,267.967,52090,4.71
1125,2/27/2018,300.863,291.372,308.127,285.517,50940,3.33
1126,2/28/2018,286.104,300.863,306.969,285.357,31970,-4.91
1127,3/1/2018,313.488,286.102,315.407,284.674,42360,9.57
1128,3/2/2018,343.372,313.484,351.56,308.146,139900,9.53
1129,3/3/2018,350.028,343.381,373.585,342.236,139850,1.94
1130,3/4/2018,368.224,350.02,369.543,336.244,77200,5.2
1131,3/5/2018,371.654,368.234,380.109,355.579,75260,0.93
1132,3/6/2018,343.374,371.169,371.367,338.651,76730,-7.61
1133,3/7/2018,337.037,343.373,363.282,317.68,128740,-1.85
1134,3/8/2018,276.113,337.247,337.255,274.195,136470,-18.08
1135,3/9/2018,285.55,275.995,285.55,241.569,184630,3.42
1136,3/10/2018,254.735,285.616,294.117,252.223,96030,-10.79
1137,3/11/2018,280.315,254.719,285.914,244.941,85520,10.04
1138,3/12/2018,257.908,280.325,286.74,249.614,61470,-7.99
1139,3/13/2018,247.524,258.352,266.409,244.923,84450,-4.03
1140,3/14/2018,215.432,247.55,251.754,206.865,111620,-12.97
1141,3/15/2018,212.317,215.252,226.109,198.466,120150,-1.45
1142,3/16/2018,215.918,212.322,222.749,203.369,83170,1.7
1143,3/17/2018,197.449,215.918,216.875,193.712,75120,-8.55
1144,3/18/2018,209.793,197.416,209.917,175.661,118640,6.25
1145,3/19/2018,217.987,209.432,223.156,201.852,92300,3.91
1146,3/20/2018,223.747,217.949,234.175,206.236,74190,2.64
1147,3/21/2018,218.331,223.747,235.481,214.07,72290,-2.42
1148,3/22/2018,212.585,218.355,224.351,203.643,57810,-2.63
1149,3/23/2018,215.958,212.585,216.526,199.029,53240,1.59
1150,3/24/2018,208.363,215.983,217.372,208.017,36100,-3.52
1151,3/25/2018,212.284,208.365,215.284,203.704,35610,1.88
1152,3/26/2018,196.913,212.284,213.457,188.435,49070,-7.24
1153,3/27/2018,188.121,196.966,198.847,184.817,55660,-4.47
1154,3/28/2018,199.479,188.121,202.113,186.429,51690,6.04
1155,3/29/2018,176.856,199.479,201.526,175.041,84870,-11.34
1156,3/30/2018,172.763,176.869,181.791,163.905,82810,-2.31
1157,3/31/2018,180.729,172.751,183.228,172.39,36630,4.61
1158,4/1/2018,176.558,180.72,184.217,165.893,53370,-2.31
1159,4/2/2018,178.642,176.494,182.893,175.861,38020,1.18
1160,4/3/2018,189.693,178.642,192.203,178.588,48210,6.19
1161,4/4/2018,170.895,189.693,190.386,169.805,51230,-9.91
1162,4/5/2018,173.458,170.894,175.848,166.039,50300,1.5
1163,4/6/2018,163.256,173.471,176.952,162.963,42680,-5.88
1164,4/7/2018,171.251,163.256,174.647,163.181,34020,4.9
1165,4/8/2018,175.764,171.251,176.073,171.127,29210,2.64
1166,4/9/2018,167.865,175.787,180.945,164.703,42350,-4.49
1167,4/10/2018,168.291,167.865,169.497,165.392,27540,0.25
1168,4/11/2018,170.175,168.213,170.974,165.697,53360,1.12
1169,4/12/2018,192.999,170.152,194.855,166.896,90080,13.41
1170,4/13/2018,189.402,193.031,202.44,186.422,72610,-1.86
1171,4/14/2018,192.018,189.413,198.291,188.67,36560,1.38
1172,4/15/2018,201.727,192.106,206.123,192.101,53540,5.06
1173,4/16/2018,195.736,201.727,204.251,190.106,44310,-2.97
1174,4/17/2018,196.873,195.741,204.042,195.145,40890,0.58
1175,4/18/2018,229.425,196.879,233.813,196.533,132600,16.53
1176,4/19/2018,238.489,229.472,239.11,226.237,76010,3.95
1177,4/20/2018,273.023,238.488,273.023,238.488,87570,14.48
1178,4/21/2018,257.079,272.898,273.027,238.876,59310,-5.84
1179,4/22/2018,270.389,257.029,284.701,249.813,64070,5.18
1180,4/23/2018,284.006,270.389,287.695,269.784,52250,5.04
1181,4/24/2018,293.225,284.044,298.537,280.355,71830,3.25
1182,4/25/2018,256.801,292.437,292.502,247.182,115510,-12.42
1183,4/26/2018,267.817,256.863,276.352,249.142,68660,4.29
1184,4/27/2018,250.867,267.435,267.998,250.491,53990,-6.33
1185,4/28/2018,261.26,250.867,264.969,250.234,51020,4.14
1186,4/29/2018,256.006,261.259,263.894,242.441,59600,-2.01
1187,4/30/2018,241.47,255.996,259.214,237.923,66470,-5.68
1188,5/1/2018,239.485,241.47,241.95,228.554,48970,-0.82
1189,5/2/2018,249.814,239.485,253.131,238.174,55500,4.31
1190,5/3/2018,246.099,249.732,258.064,242.218,91780,-1.49
1191,5/4/2018,242.009,246.106,249.29,237.898,59560,-1.66
1192,5/5/2018,241.506,242.002,247.378,239.705,51820,-0.21
1193,5/6/2018,235.488,241.38,243.085,231.846,43370,-2.49
1194,5/7/2018,235.033,235.482,236.093,221.466,51760,-0.19
1195,5/8/2018,223.012,232.621,233.318,220.108,38100,-5.11
1196,5/9/2018,226.886,223.143,231.611,216.047,46060,1.74
1197,5/10/2018,217.118,226.938,233.504,216.682,44420,-4.31
1198,5/11/2018,196.882,217.118,217.118,196.413,80310,-9.32
1199,5/12/2018,201.857,197.145,205.557,190.931,53660,2.53
1200,5/13/2018,207.835,201.916,212.727,201.916,42350,2.96
1201,5/14/2018,212.815,207.835,217.576,196.372,62870,2.4
1202,5/15/2018,202.951,212.785,217.793,201.148,54460,-4.64
1203,5/16/2018,198.927,202.948,203.38,192.431,39900,-1.98
1204,5/17/2018,191.006,198.835,203.305,190.98,34930,-3.98
1205,5/18/2018,203.637,190.819,212.878,186.443,70210,6.61
1206,5/19/2018,197.342,203.648,203.861,196.491,24850,-3.09
1207,5/20/2018,203.703,197.33,205.514,196.258,30760,3.22
1208,5/21/2018,198.314,203.703,204.399,195.049,24490,-2.65
1209,5/22/2018,175.338,198.336,198.713,175.338,59680,-11.59
1210,5/23/2018,171.011,175.304,179.536,166.11,62680,-2.47
1211,5/24/2018,171.423,171.093,177.443,161.007,60660,0.24
1212,5/25/2018,164.956,171.813,173.822,162.514,31860,-3.77
1213,5/26/2018,165.026,165.021,169.08,163.151,26880,0.04
1214,5/27/2018,166.453,165.144,170.83,161.379,32550,0.86
1215,5/28/2018,149.427,166.537,168.49,149.368,53730,-10.23
1216,5/29/2018,157.284,149.412,167.046,147.357,94490,5.26
1217,5/30/2018,155.325,157.29,161.137,152.837,28280,-1.25
1218,5/31/2018,155.785,155.447,159.098,154.63,37450,0.3
1219,6/1/2018,157.641,155.709,158.549,153.285,27460,1.19
1220,6/2/2018,162.507,157.643,167.675,156.429,45760,3.09
1221,6/3/2018,168.911,162.409,177.511,162.311,50130,3.94
1222,6/4/2018,160.254,168.903,170.33,157.653,45670,-5.13
1223,6/5/2018,167.128,160.257,169.15,157.444,48800,4.29
1224,6/6/2018,164.418,166.969,167.996,150.656,47130,-1.62
1225,6/7/2018,164.098,164.418,171.746,163.101,52280,-0.19
1226,6/8/2018,158.361,164.1,165.31,156.999,47140,-3.5
1227,6/9/2018,154.537,158.351,159.981,154.452,35770,-2.42
1228,6/10/2018,139.543,154.57,154.705,132.094,99720,-9.7
1229,6/11/2018,137.947,139.721,140.242,132.251,44990,-1.14
1230,6/12/2018,125.544,137.999,138.519,120.649,78230,-8.99
1231,6/13/2018,121.878,125.571,126.716,113.064,121010,-2.92
1232,6/14/2018,132.632,121.875,133.737,118.542,103670,8.82
1233,6/15/2018,122.167,132.627,133.329,122.032,61270,-7.89
1234,6/16/2018,126.515,122.167,128.227,121.045,59840,3.56
1235,6/17/2018,123.826,126.5,126.969,123.296,41530,-2.13
1236,6/18/2018,127.381,123.847,129.88,119.711,58920,2.87
1237,6/19/2018,126.401,127.415,130.964,124.544,53460,-0.77
1238,6/20/2018,122.822,126.442,126.442,119.975,41380,-2.83
1239,6/21/2018,124.006,122.847,124.393,121.68,40440,0.96
1240,6/22/2018,110.857,123.921,124.227,107.755,99470,-10.6
1241,6/23/2018,115.683,110.86,119.95,110.555,62910,4.35
1242,6/24/2018,121.902,115.764,125.667,108.573,84580,5.38
1243,6/25/2018,127.274,121.902,130.147,121.104,66470,4.41
1244,6/26/2018,121.13,127.352,130.859,120.854,63090,-4.83
1245,6/27/2018,129.041,121.103,131.19,120.043,66440,6.53
1246,6/28/2018,117.17,129.166,135.03,114.818,95840,-9.2
1247,6/29/2018,127.403,117.155,128.562,115.821,71410,8.73
1248,6/30/2018,131.439,127.451,135.775,127.378,94420,3.17
1249,7/1/2018,130.922,131.508,131.508,126.135,57860,-0.39
1250,7/2/2018,141.085,130.969,143.818,128.962,88980,7.76
1251,7/3/2018,139.048,141.086,144.568,139.048,67340,-1.44
1252,7/4/2018,139.492,139.053,146.376,135.311,54920,0.32
1253,7/5/2018,139.213,139.499,142.278,134.737,67690,-0.2
1254,7/6/2018,134.974,139.213,139.529,131.652,56700,-3.05
1255,7/7/2018,135.508,134.975,136.02,131.521,40860,0.4
1256,7/8/2018,138.654,135.505,140.085,134.581,43490,2.32
1257,7/9/2018,136.662,138.626,142.596,136.249,54360,-1.44
1258,7/10/2018,122.037,136.662,138.258,121.727,71810,-10.7
1259,7/11/2018,126.088,122.035,130.588,122.017,74940,3.32
1260,7/12/2018,120.659,126.167,126.859,117.533,54570,-4.31
1261,7/13/2018,122.057,120.861,125.09,119.539,53380,1.16
1262,7/14/2018,122.955,122.03,124.206,120.96,32790,0.74
1263,7/15/2018,123.943,122.955,125.986,121.244,41690,0.8
1264,7/16/2018,135.422,123.937,135.671,122.917,68050,9.26
1265,7/17/2018,143.647,135.422,148.262,134.823,74900,6.07
1266,7/18/2018,139.704,143.647,149.522,137.869,51440,-2.74
1267,7/19/2018,139.742,139.704,143.729,138.176,36000,0.03
1268,7/20/2018,130.078,139.759,139.759,128.685,66810,-6.92
1269,7/21/2018,132.359,130.078,132.938,127.384,32110,1.75
1270,7/22/2018,128.444,132.359,133.787,128.185,40240,-2.96
1271,7/23/2018,133.401,128.408,142.889,128.141,75580,3.86
1272,7/24/2018,147.874,133.4,148.646,133.06,73850,10.85
1273,7/25/2018,143.109,147.851,149.087,138.431,53190,-3.22
1274,7/26/2018,136.675,143.109,144.959,135.86,42700,-4.5
1275,7/27/2018,140.233,136.841,142.427,135.005,31060,2.6
1276,7/28/2018,139.708,140.206,141.683,138.331,33100,-0.37
1277,7/29/2018,135.802,139.708,141.498,134.79,35480,-2.8
1278,7/30/2018,131.915,135.802,136.435,128.88,44970,-2.86
1279,7/31/2018,122.217,131.902,134.359,121.243,51880,-7.35
1280,8/1/2018,128.237,122.223,130.233,119.632,50670,4.93
1281,8/2/2018,122.358,128.237,130.639,120.692,39680,-4.58
1282,8/3/2018,120.109,122.378,122.498,114.988,48490,-1.84
1283,8/4/2018,114.097,120.109,121.349,113.439,34920,-5.01
1284,8/5/2018,117.342,114.085,117.749,111.736,32820,2.84
1285,8/6/2018,113.383,117.342,119.872,112.383,39060,-3.37
1286,8/7/2018,107.838,113.377,118.057,107.603,60020,-4.89
1287,8/8/2018,94.299,107.818,107.838,93.044,86050,-12.56
1288,8/9/2018,100.316,94.563,102.081,94.563,56060,6.38
1289,8/10/2018,91.46,100.338,100.96,90.17,58750,-8.83
1290,8/11/2018,92.92,91.525,97.043,87.321,93430,1.6
1291,8/12/2018,93.133,92.917,95.447,91.54,44130,0.23
1292,8/13/2018,87.758,93.132,97.131,87.727,55800,-5.77
1293,8/14/2018,84.024,87.759,87.759,77.713,99970,-4.26
1294,8/15/2018,89.284,84.022,93.95,83.944,67120,6.26
1295,8/16/2018,91.065,89.284,92.785,88.645,50020,1.99
1296,8/17/2018,99.281,91.065,101.457,90.629,62220,9.02
1297,8/18/2018,98.028,99.281,104.902,93.869,66170,-1.26
1298,8/19/2018,98.482,98.042,98.817,94.563,34540,0.46
1299,8/20/2018,92.694,98.48,102.428,92.694,64150,-5.88
1300,8/21/2018,94.778,92.692,96.509,91.824,45190,2.25
1301,8/22/2018,89.765,94.769,98.653,87.743,64290,-5.29
1302,8/23/2018,89.981,89.773,91.379,88.629,39160,0.24
1303,8/24/2018,93.526,89.97,94.044,88.542,44790,3.94
1304,8/25/2018,92.495,93.526,96.459,91.949,40800,-1.1
1305,8/26/2018,94.746,92.495,94.872,90.165,40430,2.43
1306,8/27/2018,105.105,94.728,105.505,93.351,77330,10.93
1307,8/28/2018,107.575,105.095,107.938,102.289,54190,2.35
1308,8/29/2018,103.546,107.575,108.453,100.773,49060,-3.75
1309,8/30/2018,103.057,103.546,106.321,97.14,57330,-0.47
1310,8/31/2018,116.346,103.061,118.101,102.726,126100,12.9
1311,9/1/2018,120.899,116.346,124.533,115.461,133480,3.91
1312,9/2/2018,120.3,120.899,125.508,116.397,83880,-0.49
1313,9/3/2018,134.957,120.303,135.975,119,115410,12.18
1314,9/4/2018,138.117,134.956,140.196,134.58,116210,2.34
1315,9/5/2018,114.326,138.112,140.022,113.411,169050,-17.22
1316,9/6/2018,117.224,114.326,118.014,108.258,116760,2.53
1317,9/7/2018,110.766,117.285,119.524,110.175,70870,-5.51
1318,9/8/2018,103.827,110.765,114.169,101.473,82810,-6.26
1319,9/9/2018,105.223,103.827,110.436,100.481,68340,1.34
1320,9/10/2018,105.434,105.267,109.097,103.762,45990,0.2
1321,9/11/2018,105.092,105.442,108.83,100.734,59020,-0.32
1322,9/12/2018,104.194,105.068,105.479,96.849,74120,-0.85
1323,9/13/2018,111.868,104.192,116.21,104.192,93500,7.36
1324,9/14/2018,116.696,111.865,117.259,109.177,81900,4.32
1325,9/15/2018,119.22,116.68,121.896,115.879,65550,2.16
1326,9/16/2018,117.041,119.157,119.157,113.062,54460,-1.83
1327,9/17/2018,106.059,117.045,120.135,106.008,92740,-9.38
1328,9/18/2018,112.094,105.979,112.9,103.52,64560,5.69
1329,9/19/2018,109.467,112.094,112.555,104.837,57170,-2.34
1330,9/20/2018,115.813,109.415,116.18,109.391,57400,5.8
1331,9/21/2018,124.169,115.811,124.672,115.664,85320,7.22
1332,9/22/2018,122.328,124.169,125.699,118.745,52650,-1.48
1333,9/23/2018,122.619,122.328,128.133,120.6,54650,0.24
1334,9/24/2018,115.034,122.525,123.314,114.401,63500,-6.19
1335,9/25/2018,116.603,115.034,116.603,111.177,54180,1.36
1336,9/26/2018,115.09,116.603,117.556,112.368,36670,-1.3
1337,9/27/2018,119.14,115.13,121.37,112.333,42190,3.52
1338,9/28/2018,116.961,119.187,122.117,115.301,42950,-1.83
1339,9/29/2018,114.442,116.97,120.143,110.536,60030,-2.15
1340,9/30/2018,115.759,114.443,116.927,113.789,43370,1.15
1341,10/1/2018,114.442,115.767,117.479,112.819,32470,-1.14
1342,10/2/2018,116.749,114.441,120.258,112.24,35800,2.02
1343,10/3/2018,114.47,116.799,117.649,107.87,37440,-1.95
1344,10/4/2018,114.679,114.47,118.746,113.549,25480,0.18
1345,10/5/2018,115.374,114.719,115.927,113.318,41500,0.61
1346,10/6/2018,114.869,115.368,115.642,113.341,14950,-0.44
1347,10/7/2018,113.732,114.869,115.214,112.49,17560,-0.99
1348,10/8/2018,114.279,113.753,115.604,112.912,22570,0.48
1349,10/9/2018,113.687,114.279,114.878,113.212,20930,-0.52
1350,10/10/2018,114.463,113.767,114.628,111.582,32270,0.68
1351,10/11/2018,100.696,114.463,114.644,100.617,68240,-12.03
1352,10/12/2018,101.744,100.655,104.79,100.295,20640,1.04
1353,10/13/2018,103.508,101.983,103.974,101.85,21590,1.73
1354,10/14/2018,101.045,103.875,104.28,100.933,22520,-2.38
1355,10/15/2018,108.993,101.045,118.14,100.88,109780,7.87
1356,10/16/2018,110.245,109.695,111.233,108.076,29210,1.15
1357,10/17/2018,109.06,110.245,111.054,107.712,22460,-1.07
1358,10/18/2018,105.069,109.409,109.951,103.924,21530,-3.66
1359,10/19/2018,105.49,105.069,107.671,104.893,24210,0.4
1360,10/20/2018,105.894,105.49,107.287,105.277,16450,0.38
1361,10/21/2018,106.663,106.159,108.232,106.057,15210,0.73
1362,10/22/2018,107.493,106.891,107.611,105.95,18770,0.78
1363,10/23/2018,109.596,107.493,111.836,107.493,36200,1.96
1364,10/24/2018,108.119,109.6,110.599,108.017,26370,-1.35
1365,10/25/2018,107.795,108.259,108.308,106.643,34000,-0.3
1366,10/26/2018,106.053,107.85,108.039,105.79,55240,-1.62
1367,10/27/2018,104.49,106.099,106.106,104.295,64250,-1.47
1368,10/28/2018,105.308,104.49,105.656,102.743,87480,0.78
1369,10/29/2018,101.862,105.325,105.368,101.318,24470,-3.27
1370,10/30/2018,101.786,101.853,103.016,101.025,38130,-0.08
1371,10/31/2018,104.987,101.788,106.258,100.95,25480,3.15
1372,11/1/2018,104.813,104.987,105.449,103.068,18830,-0.17
1373,11/2/2018,106.575,104.813,107.059,104.361,23300,1.68
1374,11/3/2018,107.119,106.601,107.898,104.913,23440,0.51
1375,11/4/2018,112.686,107.119,113.366,105.825,30460,5.2
1376,11/5/2018,112.079,112.686,113.396,109.861,23320,-0.54
1377,11/6/2018,113.604,112.079,114.185,111.104,32710,1.36
1378,11/7/2018,111.933,113.604,114.392,110.018,23560,-1.47
1379,11/8/2018,108.983,111.936,112.604,108.855,23750,-2.64
1380,11/9/2018,107.365,108.983,109.307,105.869,19860,-1.48
1381,11/10/2018,105.471,107.365,107.696,105.198,14280,-1.76
1382,11/11/2018,107.192,105.471,107.252,102.915,18940,1.63
1383,11/12/2018,106.265,107.386,107.858,105.983,16900,-0.87
1384,11/13/2018,106.223,106.265,107.516,105.37,23100,-0.04
1385,11/14/2018,92.419,106.448,106.513,88.436,85660,-13
1386,11/15/2018,89.856,92.423,94.824,82.047,86120,-2.77
1387,11/16/2018,87.941,89.856,90.225,87.425,31820,-2.13
1388,11/17/2018,89.155,87.945,89.341,86.013,32190,1.38
1389,11/18/2018,89.889,89.374,92.851,88.796,46600,0.82
1390,11/19/2018,73.113,89.889,90.22,72.949,104770,-18.66
1391,11/20/2018,67.767,73.75,75.963,64.505,136070,-7.31
1392,11/21/2018,69.527,67.767,71.612,65.638,60530,2.6
1393,11/22/2018,66.062,69.524,71.633,66.001,46400,-4.98
1394,11/23/2018,67.649,66.062,67.871,63.342,57920,2.4
1395,11/24/2018,58.947,67.649,69.999,58.806,61420,-12.86
1396,11/25/2018,58.779,59.361,60.232,53.878,106510,-0.29
1397,11/26/2018,53.869,58.779,60.813,52.696,99260,-8.35
1398,11/27/2018,57.912,53.869,59.309,53.07,55850,7.5
1399,11/28/2018,63.742,57.905,65.973,57.905,65920,10.07
1400,11/29/2018,61.303,63.742,65.316,59.493,46610,-3.83
1401,11/30/2018,58.277,61.303,62.497,56.226,35270,-4.94
1402,12/1/2018,59.867,58.277,61.745,57.574,37660,2.73
1403,12/2/2018,59.168,59.867,62.476,58.235,24440,-1.17
1404,12/3/2018,55.192,59.088,59.811,53.703,43740,-6.72
1405,12/4/2018,57.06,55.192,59.563,54.185,43260,3.38
1406,12/5/2018,51.953,57.06,57.929,51.953,44550,-8.95
1407,12/6/2018,46.506,51.956,53.855,46.357,75220,-10.48
1408,12/7/2018,46.896,46.506,47.588,42.982,88480,0.84
1409,12/8/2018,45.199,46.896,49.563,43.064,54540,-3.62
1410,12/9/2018,47.547,45.318,49.456,45.262,44430,5.19
1411,12/10/2018,44.276,47.547,48.482,43.773,53540,-6.88
1412,12/11/2018,43.123,44.276,44.755,42.343,46170,-2.6
1413,12/12/2018,44.192,42.947,46.22,42.886,38890,2.48
1414,12/13/2018,41.26,44.643,44.777,40.878,48630,-6.63
1415,12/14/2018,39.081,41.536,43.222,38.72,63400,-5.28
1416,12/15/2018,39.076,39.081,39.893,38.255,43490,-0.01
1417,12/16/2018,39.692,39.389,41.317,39.293,53710,1.58
1418,12/17/2018,44.171,39.692,45.549,39.691,67390,11.29
1419,12/18/2018,47.249,44.172,48.461,43.501,55230,6.97
1420,12/19/2018,46.307,47.457,51.29,45.966,80240,-1.99
1421,12/20/2018,55.586,46.307,55.844,46.181,92310,20.04
1422,12/21/2018,52.462,55.586,56.733,51.063,68260,-5.62
1423,12/22/2018,52.352,52.462,53.421,50.444,49520,-0.21
1424,12/23/2018,53.405,52.352,55.641,52.352,48380,2.01
1425,12/24/2018,56.351,53.404,59.012,53.404,76440,5.52
1426,12/25/2018,51.067,56.35,56.727,48.565,69760,-9.38
1427,12/26/2018,49.661,51.222,53.054,47.424,62700,-2.75
1428,12/27/2018,44.372,49.664,49.904,43.6,51860,-10.65
1429,12/28/2018,50.175,44.372,52.071,44.15,60950,13.08
1430,12/29/2018,47.705,50.175,50.848,47.705,47770,-4.92
1431,12/30/2018,49.023,47.706,49.292,47.593,32850,2.76
1432,12/31/2018,46.374,49.339,49.476,45.524,34860,-5.4
1433,1/1/2019,48.668,46.374,48.735,45.918,28910,4.95
1434,1/2/2019,52.971,48.856,54.235,48.408,65130,8.84
1435,1/3/2019,50.033,52.972,53.375,49.984,30870,-5.55
1436,1/4/2019,50.962,50.209,51.409,49.59,37020,1.86
1437,1/5/2019,50.019,50.962,52.143,49.925,41070,-1.85
1438,1/6/2019,55.337,50.017,55.499,49.851,50340,10.63
1439,1/7/2019,53.36,55.337,56.068,53.127,38900,-3.57
1440,1/8/2019,53.072,53.36,55.026,52.893,30440,-0.54
1441,1/9/2019,52.564,53.072,54.835,51.961,33760,-0.96
1442,1/10/2019,45.328,52.675,53.702,43.97,106870,-13.77
